agriculture,industry,services,gdp_log,year,country,unemployment_rate,target
17.3544978616605,16.9946465629209,65.6507756972169,23.272777513551056,2002,Panama,6.362,6.362
43.5952138707079,20.8162166469728,35.5885694823193,24.853491500600466,1998,Pakistan,0.645,0.645
1.84873241809147,18.9674050366378,79.1838625452708,22.168772057933776,2008,Virgin Islands (U.S.),10.22,10.22
17.8539546509552,24.0648221684551,58.0813001372907,23.172423908014977,1995,Costa Rica,5.18,5.18
24.9846486434234,16.9817310618086,58.033620294768,22.807985636705975,1992,Panama,6.303,6.303
23.2390024103744,38.5383037019904,38.2226938876352,23.552931135001778,1992,Belarus,3.1,3.1
7.66925146245025,26.0849340196866,66.2462533626482,22.113562322892356,2019,Suriname,7.556,7.556
12.2999374494355,23.1153610684607,64.5847014821039,25.75920180699732,2006,Chile,9.024,9.024
55.3202787713785,7.23808080953498,37.4416404190865,25.023135045017057,2017,Angola,16.61,16.61
27.3663246616996,17.9134733360599,54.7202020022405,20.464883634834326,1994,Belize,11.1,11.1
45.4755748015914,19.5097446284564,35.0146805699522,24.955234668052213,2005,Morocco,11.01,11.01
81.1103113253326,6.23510868985403,12.6545670688399,22.400680415395044,2002,Madagascar,5.502,5.502
67.5472002137961,8.89307441992077,23.5598236181852,20.4387410280793,2001,Eritrea,5.678,5.678
3.37515374931101,20.1492375210769,76.4756539832724,24.451568770109393,2017,Jordan,18.12,18.12
11.5702343628125,42.3849386617122,46.0448269754752,23.520593943282115,1994,Slovenia,8.24,8.24
1.35841393683536,16.1272911879442,82.5142948752204,23.21879652193304,2017,Brunei Darussalam,9.316,9.316
73.4839903292266,6.02569614352548,20.490313527248,21.362386195910606,2014,Central African Republic,5.326,5.326
7.50175925563939,18.0294382110325,74.4692912154502,22.237441964699535,2008,Montenegro,17.15,17.15
71.4382770982006,8.31545268923535,20.246270212564,22.68782542982848,2010,Lao PDR,0.708,0.708
77.5581863447905,4.84787902585821,17.5939346293513,21.97794004088793,1996,Cambodia,0.963,0.963
47.807343468754,13.5124047355618,38.6802517956843,22.47277636411092,1993,Kenya,2.985,2.985
56.6797049532425,9.99819711067389,33.3220979360837,20.771496013984816,2012,Guinea-Bissau,3.143,3.143
25.1092303379632,23.681037429007,51.2096938324892,22.83595700885554,2020,Kyrgyz Republic,4.63,4.63
3.82953265400408,21.6688468879072,74.5016204580887,26.158669697604207,2003,Norway,4.221,4.221
2.55062392499542,24.2258591982676,73.2234383017108,25.465010659614396,2007,Kuwait,1.5,1.5
68.8986756325867,4.49716657984878,26.6041577875645,19.42414394359043,1997,Vanuatu,8.24,8.24
5.65867316471134,26.5716596248985,67.7696686152877,28.460276668930817,2022,Russian Federation,3.867,3.867
